source;target;id_x;source_name;new_id_x;id_y;target_name;new_id_y
0;276;239772385294;Lee Anne Wong;0;292015340391;KFC;276
0;58;239772385294;Lee Anne Wong;0;153667861336296;Chef Jamie Gwen;58
0;132;239772385294;Lee Anne Wong;0;144903885552048;Madison Cowan;132
0;603;239772385294;Lee Anne Wong;0;333080150075350;Elizabeth Karmel;603
0;398;239772385294;Lee Anne Wong;0;117373194958135;KFC;398
0;555;239772385294;Lee Anne Wong;0;7144906559;KFC;555
1;265;765596333518863;Pat Neely;1;322716741231433;Logan Junior Chef;265
1;611;765596333518863;Pat Neely;1;134948713328617;Robin Miller;611
2;265;148050835267603;Ben Sargent & Dr. Klaw;2;322716741231433;Logan Junior Chef;265
2;182;148050835267603;Ben Sargent & Dr. Klaw;2;153612958024275;Bobby Flay;182
2;345;148050835267603;Ben Sargent & Dr. Klaw;2;62675969126;Chuck Hughes;345
3;608;561590147190805;Chef Carlo Cracco;3;626738214090722;Pasqualino Barbasso;608
3;377;561590147190805;Chef Carlo Cracco;3;157593414883;Alessandro Borghese;377
3;40;561590147190805;Chef Carlo Cracco;3;447225048754345;Chef Hirohiko Shoda;40
3;352;561590147190805;Chef Carlo Cracco;3;271546371947;Alain Ducasse;352
3;450;561590147190805;Chef Carlo Cracco;3;128177050662351;Christian Bau;450
3;484;561590147190805;Chef Carlo Cracco;3;58711572016;Andy Luotto;484
3;299;561590147190805;Chef Carlo Cracco;3;1451201965138860;Cristian D'Elia;299
3;65;561590147190805;Chef Carlo Cracco;3;50046157045;Cuoco Filippo La Mantia;65
3;185;561590147190805;Chef Carlo Cracco;3;83166933592;Mirko Ronzoni;185
3;228;561590147190805;Chef Carlo Cracco;3;1451170498503380;Jock Zonfrillo;228
557;227;902318009859909;Chef Maeve Rochford;557;118883637977;Wolfgang Puck;227
557;182;902318009859909;Chef Maeve Rochford;557;153612958024275;Bobby Flay;182
557;90;902318009859909;Chef Maeve Rochford;557;117098158328132;Scott Conant;90
557;151;902318009859909;Chef Maeve Rochford;557;206392696089343;Anne Burrell;151
557;394;902318009859909;Chef Maeve Rochford;557;1666207200283940;Steve Konopelski;394
4;265;954494081243162;George Pagonis;4;322716741231433;Logan Junior Chef;265
4;287;954494081243162;George Pagonis;4;417094518371212;Magnum;287
4;254;954494081243162;George Pagonis;4;562807423845157;Mei Lin;254
4;336;954494081243162;George Pagonis;4;203422113133645;Magnum;336
5;503;149050278582302;Magnum;5;460720117324738;Magnum;503
6;429;295895267178537;Jumia Food;6;489429144411544;Jumia Food;429
